date,minTemp
2021-09-06,15.5
2021-09-07,13.2
2021-09-08,13.7
2021-09-09,15.4
2021-09-10,14.0
2021-09-11,12.8
2021-09-12,12.8
2021-09-13,12.7
2021-09-14,15.1
2021-09-15,14.5
2021-09-16,17.9
2021-09-17,16.8
2021-09-18,14.9
2021-09-19,11.8
2021-09-20,11.4
2021-09-21,10.8
2021-09-22,10.1
2021-09-23,7.4
2021-09-24,10.2
2021-09-25,13.0
2021-09-26,11.8
2021-09-27,15.0
2021-09-28,16.3
2021-09-29,13.3
2021-09-30,13.1
2021-10-01,11.1
2021-10-02,10.2
2021-10-03,10.7
2021-10-04,11.7
2021-10-05,12.6
2021-10-06,12.9
2021-10-07,11.1
2021-10-08,8.0
2021-10-09,6.5
2021-10-10,7.6
2021-10-11,8.7
2021-10-12,7.5
2021-10-13,5.1
2021-10-14,2.8
2021-10-15,2.5
2021-10-16,6.9
2021-10-17,5.1
2021-10-18,4.8
2021-10-19,5.6
2021-10-20,6.6
2021-10-21,7.8
2021-10-22,12.6
2021-10-23,9.7
2021-10-24,3.3
2021-10-25,3.1
2021-10-26,5.0
2021-10-27,2.6
2021-10-28,2.8
2021-10-29,5.0
2021-10-30,9.0
2021-10-31,7.1
2021-11-01,6.5
2021-11-02,7.5
2021-11-03,5.4
2021-11-04,14.4
2021-11-05,8.9
2021-11-06,6.7
2021-11-07,5.0
2021-11-08,5.2
2021-11-09,3.9
2021-11-10,3.7
2021-11-11,4.0
2021-11-12,0.7
2021-11-13,2.2
2021-11-14,5.4
2021-11-15,3.7
2021-11-16,5.5
2021-11-17,3.1
2021-11-18,3.2
2021-11-19,3.6
2021-11-20,5.1
2021-11-21,2.4
2021-11-22,2.7
2021-11-23,1.8
2021-11-24,0.3
2021-11-25,3.9
2021-11-26,5.9
2021-11-27,4.1
2021-11-28,7.3
2021-11-29,2.2
2021-11-30,0.5
2021-12-01,4.7
2021-12-02,7.2
2021-12-03,1.7
2021-12-04,-0.9
2021-12-05,1.8
2021-12-06,2.8
2021-12-07,0.8
2021-12-08,-2.0
2021-12-09,0.5
2021-12-10,1.3
2021-12-11,1.5
2021-12-12,0.1
2021-12-13,-0.1
2021-12-14,-3.7
2021-12-15,-2.8
2021-12-16,-0.0
2021-12-17,0.6
2021-12-18,-0.1
2021-12-19,-0.1
2021-12-20,-0.3
2021-12-21,-3.6
2021-12-22,-4.5
2021-12-23,-4.4
2021-12-24,2.6
2021-12-25,8.8
2021-12-26,2.3
2021-12-27,0.8
2021-12-28,-1.8
2021-12-29,3.3
2021-12-30,3.0
2021-12-31,4.2
