system:index,b1,b2,b3,.geo
134,178,171,36,"{""type"":""Point"",""coordinates"":[20.472597047787186,44.793289896820504]}"
135,69,0,78,"{""type"":""Point"",""coordinates"":[20.391285829289433,44.79050619242871]}"
136,61,77,137,"{""type"":""Point"",""coordinates"":[20.56604915978813,44.82077920107937]}"
137,55,87,136,"{""type"":""Point"",""coordinates"":[20.554797776359873,44.782496921770495]}"
138,36,135,141,"{""type"":""Point"",""coordinates"":[20.323243610823134,44.88956739918275]}"
139,226,215,42,"{""type"":""Point"",""coordinates"":[20.391926582310195,44.851358272850995]}"
140,36,135,141,"{""type"":""Point"",""coordinates"":[20.55109402709971,44.86629444309295]}"
141,153,216,59,"{""type"":""Point"",""coordinates"":[20.315838225250367,44.86519789952958]}"
142,53,97,142,"{""type"":""Point"",""coordinates"":[20.560909931606155,44.73427167309993]}"
143,72,182,114,"{""type"":""Point"",""coordinates"":[20.403927582055644,44.78467444167655]}"
144,32,155,137,"{""type"":""Point"",""coordinates"":[20.521481372015717,44.85257971963789]}"
145,102,180,89,"{""type"":""Point"",""coordinates"":[20.457714758064927,44.76932585383859]}"
146,36,135,141,"{""type"":""Point"",""coordinates"":[20.28563951871083,44.803880312927056]}"
147,199,109,14,"{""type"":""Point"",""coordinates"":[20.424339761139684,44.812897880934266]}"
148,206,198,34,"{""type"":""Point"",""coordinates"":[20.388354943532015,44.853769325748345]}"
149,53,97,141,"{""type"":""Point"",""coordinates"":[20.401298766379366,44.73265487666265]}"
150,8,110,77,"{""type"":""Point"",""coordinates"":[20.44938636084388,44.75864843270892]}"
151,30,155,139,"{""type"":""Point"",""coordinates"":[20.34252210178431,44.87582469901883]}"
152,69,1,84,"{""type"":""Point"",""coordinates"":[20.520697711374087,44.82551483105734]}"
153,170,159,15,"{""type"":""Point"",""coordinates"":[20.458341654211058,44.7977262672788]}"
154,135,217,87,"{""type"":""Point"",""coordinates"":[20.379970669734416,44.85316028192571]}"
155,166,157,8,"{""type"":""Point"",""coordinates"":[20.487162319191427,44.794546734747456]}"
156,36,135,141,"{""type"":""Point"",""coordinates"":[20.281130777948047,44.75831015013979]}"
157,70,181,108,"{""type"":""Point"",""coordinates"":[20.340477446555163,44.874963957223535]}"
158,36,135,141,"{""type"":""Point"",""coordinates"":[20.349191539166096,44.77587458193864]}"
159,176,214,51,"{""type"":""Point"",""coordinates"":[20.458377083361643,44.88295740845271]}"
160,39,133,140,"{""type"":""Point"",""coordinates"":[20.446432696050685,44.885350616184446]}"
161,36,135,141,"{""type"":""Point"",""coordinates"":[20.336159849994434,44.812770623482564]}"
162,36,135,141,"{""type"":""Point"",""coordinates"":[20.28492228912668,44.757318623362345]}"
163,28,111,122,"{""type"":""Point"",""coordinates"":[20.46207003095126,44.74090439821015]}"
164,36,135,141,"{""type"":""Point"",""coordinates"":[20.30870845210931,44.738643397364875]}"
165,79,155,69,"{""type"":""Point"",""coordinates"":[20.498891488315753,44.78111725538044]}"
166,36,135,141,"{""type"":""Point"",""coordinates"":[20.3988116548455,44.76111807855127]}"
167,36,135,141,"{""type"":""Point"",""coordinates"":[20.504477661286195,44.879454579558136]}"
168,254,142,34,"{""type"":""Point"",""coordinates"":[20.455394721451217,44.81545144498223]}"
169,36,134,142,"{""type"":""Point"",""coordinates"":[20.328624776428576,44.835791535107525]}"
170,42,57,113,"{""type"":""Point"",""coordinates"":[20.557414818439316,44.788053123673244]}"
171,69,1,84,"{""type"":""Point"",""coordinates"":[20.52780409428938,44.82731442251375]}"
172,36,135,140,"{""type"":""Point"",""coordinates"":[20.302519550932054,44.809377921625824]}"
173,207,218,54,"{""type"":""Point"",""coordinates"":[20.34539686694533,44.88970925135744]}"
174,64,188,115,"{""type"":""Point"",""coordinates"":[20.42942404577928,44.744623232559164]}"
175,99,206,99,"{""type"":""Point"",""coordinates"":[20.54378748873982,44.76772268832123]}"
176,143,196,75,"{""type"":""Point"",""coordinates"":[20.496607055842336,44.7887908052922]}"
177,35,144,141,"{""type"":""Point"",""coordinates"":[20.379664515852756,44.87017679261924]}"
178,69,1,84,"{""type"":""Point"",""coordinates"":[20.431220551457457,44.839280323254805]}"
179,152,189,72,"{""type"":""Point"",""coordinates"":[20.496490632454222,44.77957235579574]}"
180,35,136,141,"{""type"":""Point"",""coordinates"":[20.42850914553457,44.882146615976815]}"
181,36,135,141,"{""type"":""Point"",""coordinates"":[20.425135551815607,44.86693569900341]}"
182,106,160,23,"{""type"":""Point"",""coordinates"":[20.393155396658834,44.74098412743346]}"
183,30,153,138,"{""type"":""Point"",""coordinates"":[20.286797311940752,44.77995086601988]}"
184,229,205,40,"{""type"":""Point"",""coordinates"":[20.468528876339686,44.79304387413547]}"
185,37,148,142,"{""type"":""Point"",""coordinates"":[20.28637019808151,44.77443596982018]}"
186,149,217,64,"{""type"":""Point"",""coordinates"":[20.413390064827272,44.85768304107567]}"
187,36,135,141,"{""type"":""Point"",""coordinates"":[20.560336338836937,44.87151462741068]}"
188,108,202,97,"{""type"":""Point"",""coordinates"":[20.421727098451818,44.741400765878446]}"
189,251,253,255,"{""type"":""Point"",""coordinates"":[20.29232770219092,44.77233092917188]}"
190,49,99,145,"{""type"":""Point"",""coordinates"":[20.538774483871304,44.73860273983938]}"
191,37,134,141,"{""type"":""Point"",""coordinates"":[20.34365913956501,44.752868055181615]}"
192,36,135,141,"{""type"":""Point"",""coordinates"":[20.555349677309028,44.8608859954055]}"
193,224,214,29,"{""type"":""Point"",""coordinates"":[20.29141751096999,44.819254093863684]}"
194,240,195,52,"{""type"":""Point"",""coordinates"":[20.415398105443714,44.829363948923486]}"
195,36,135,141,"{""type"":""Point"",""coordinates"":[20.344523800173803,44.81979798244978]}"
196,42,129,139,"{""type"":""Point"",""coordinates"":[20.296032048294368,44.76112753263814]}"
197,160,213,70,"{""type"":""Point"",""coordinates"":[20.485994435780007,44.76682602149992]}"
198,243,142,43,"{""type"":""Point"",""coordinates"":[20.456502216334414,44.80555300464882]}"
199,21,104,98,"{""type"":""Point"",""coordinates"":[20.37509960683717,44.82094382124951]}"
200,36,135,141,"{""type"":""Point"",""coordinates"":[20.321284181630336,44.85758753390744]}"
201,36,135,141,"{""type"":""Point"",""coordinates"":[20.330268143854333,44.85320701609104]}"
202,36,135,141,"{""type"":""Point"",""coordinates"":[20.304935679188812,44.8733395943338]}"
203,36,135,141,"{""type"":""Point"",""coordinates"":[20.339501315556543,44.76264243322163]}"
204,184,88,7,"{""type"":""Point"",""coordinates"":[20.45328622129584,44.802969056982946]}"
205,69,1,84,"{""type"":""Point"",""coordinates"":[20.450437223205736,44.83405315264106]}"
206,115,212,87,"{""type"":""Point"",""coordinates"":[20.446197776526926,44.75407384351157]}"
207,104,202,94,"{""type"":""Point"",""coordinates"":[20.519059195406527,44.76678157860941]}"
208,49,111,144,"{""type"":""Point"",""coordinates"":[20.569118669124297,44.73414805445899]}"
209,151,218,61,"{""type"":""Point"",""coordinates"":[20.30739166316349,44.79581585585041]}"
210,157,206,71,"{""type"":""Point"",""coordinates"":[20.505043878778466,44.7915112001904]}"
211,56,174,102,"{""type"":""Point"",""coordinates"":[20.491538521431867,44.75600898766737]}"
212,114,149,21,"{""type"":""Point"",""coordinates"":[20.393629648062465,44.81992747858097]}"
213,69,1,84,"{""type"":""Point"",""coordinates"":[20.54053479128763,44.833300465519265]}"
214,38,151,136,"{""type"":""Point"",""coordinates"":[20.36645348607813,44.78419334227818]}"
215,99,154,25,"{""type"":""Point"",""coordinates"":[20.414862035262985,44.767324730639594]}"
216,137,140,8,"{""type"":""Point"",""coordinates"":[20.372284649590405,44.79878257807678]}"
217,36,135,141,"{""type"":""Point"",""coordinates"":[20.4177400149658,44.86494045793527]}"
218,47,154,113,"{""type"":""Point"",""coordinates"":[20.477790469009786,44.83315796935712]}"
219,225,207,50,"{""type"":""Point"",""coordinates"":[20.38801689218895,44.78184117632235]}"
220,157,214,62,"{""type"":""Point"",""coordinates"":[20.493553834847443,44.78577487902108]}"
221,62,76,139,"{""type"":""Point"",""coordinates"":[20.5138679473722,44.75778273931691]}"
222,32,153,149,"{""type"":""Point"",""coordinates"":[20.354953494382578,44.87461126755634]}"
223,69,183,120,"{""type"":""Point"",""coordinates"":[20.48311671822841,44.73531260390921]}"
224,36,135,141,"{""type"":""Point"",""coordinates"":[20.299573072329625,44.7872040088087]}"
225,114,119,8,"{""type"":""Point"",""coordinates"":[20.449686257457103,44.75769520611119]}"
226,182,185,53,"{""type"":""Point"",""coordinates"":[20.47972129260741,44.84233076032957]}"
227,42,116,142,"{""type"":""Point"",""coordinates"":[20.552502329810483,44.84481766337231]}"
228,218,214,33,"{""type"":""Point"",""coordinates"":[20.402668437298516,44.82045925547049]}"
229,112,165,51,"{""type"":""Point"",""coordinates"":[20.49226673411987,44.7739533439241]}"
230,35,132,142,"{""type"":""Point"",""coordinates"":[20.458840902725406,44.73854088272395]}"
231,69,1,84,"{""type"":""Point"",""coordinates"":[20.373642174937643,44.78505457077399]}"
232,97,157,24,"{""type"":""Point"",""coordinates"":[20.40784626256264,44.75669511276107]}"
233,69,1,84,"{""type"":""Point"",""coordinates"":[20.368075024486696,44.87692841577405]}"
234,29,154,134,"{""type"":""Point"",""coordinates"":[20.319929242116576,44.78345568610268]}"
235,37,133,146,"{""type"":""Point"",""coordinates"":[20.422714279845316,44.85109278655276]}"
236,228,211,31,"{""type"":""Point"",""coordinates"":[20.39238174503726,44.82187664177762]}"
237,42,116,142,"{""type"":""Point"",""coordinates"":[20.572018466906147,44.87504259311007]}"
238,108,204,84,"{""type"":""Point"",""coordinates"":[20.535568675601468,44.88751299817878]}"
239,61,77,137,"{""type"":""Point"",""coordinates"":[20.554535816838683,44.790571239879355]}"
240,0,0,0,"{""type"":""Point"",""coordinates"":[20.276941837561324,44.88199341795622]}"
241,40,139,142,"{""type"":""Point"",""coordinates"":[20.280303541327136,44.88949875387707]}"
242,35,136,141,"{""type"":""Point"",""coordinates"":[20.386501767640212,44.88724661789506]}"
243,104,206,84,"{""type"":""Point"",""coordinates"":[20.33171239122076,44.790283371737644]}"
244,69,1,84,"{""type"":""Point"",""coordinates"":[20.49441977830501,44.86936509812974]}"
